business_type,years_in_business,registered,monthly_revenue_pkr,employees,premises_owned,years_at_premises,avg_monthly_inflow_pkr,avg_monthly_outflow_pkr,net_cashflow_pkr,bounced_cheques,account_age_months,has_existing_loan,existing_installment_pkr,requested_amount_pkr,debt_burden_ratio,turnover_to_loan_ratio,repaid
services,7,1,1178000.0,2,1,7,656000.0,540000.0,116000.0,0,84,0,0.0,2545000.0,0.0,3.093239818784922,1
textiles,13,0,315000.0,6,0,13,219000.0,159000.0,60000.0,1,44,0,0.0,5535000.0,0.0,0.4747780312386318,1
textiles,8,0,764000.0,2,1,1,538000.0,477000.0,61000.0,0,96,0,0.0,3501000.0,0.0,1.8439475653795183,1
textiles,13,0,5860000.0,6,0,13,4742000.0,3332000.0,1410000.0,0,156,0,0.0,1648000.0,0.0,34.52454401538935,1
retail_wholesale,9,0,639000.0,2,0,9,501000.0,461000.0,40000.0,0,108,1,135000.0,3675000.0,0.2694610778443114,1.635899789218173,0
retail_wholesale,9,1,325000.0,4,0,9,281000.0,238000.0,43000.0,2,80,0,0.0,2462000.0,0.0,1.3693940455488498,1
retail_wholesale,10,1,546000.0,7,1,6,485000.0,406000.0,79000.0,0,120,0,0.0,1952000.0,0.0,2.9819447601632767,1
retail_wholesale,3,0,713000.0,6,0,3,564000.0,485000.0,79000.0,0,36,1,97000.0,1880000.0,0.17198581560283688,3.599993634018908,1
retail_wholesale,11,0,559000.0,3,1,11,297000.0,251000.0,46000.0,1,132,0,0.0,1774000.0,0.0,2.00912722597995,0
services,5,0,630000.0,5,0,5,417000.0,330000.0,87000.0,0,60,0,0.0,2956000.0,0.0,1.6929130417138667,1
retail_wholesale,5,1,153000.0,4,1,5,114000.0,89000.0,25000.0,0,60,1,28000.0,2175000.0,0.24561403508771928,0.6290154808593895,1
retail_wholesale,6,0,248000.0,2,0,6,183000.0,149000.0,34000.0,0,40,0,0.0,1292000.0,0.0,1.6998568160015548,1
retail_wholesale,4,1,560000.0,5,0,4,321000.0,305000.0,16000.0,1,48,1,68000.0,1255000.0,0.2118380062305296,3.0696286053843393,1
retail_wholesale,2,1,551000.0,3,0,2,404000.0,298000.0,106000.0,0,24,0,0.0,2403000.0,0.0,2.017535424133027,1
services,6,1,369000.0,4,0,6,236000.0,187000.0,49000.0,1,72,0,0.0,2587000.0,0.0,1.0948805448556855,1
textiles,5,0,545000.0,3,1,5,346000.0,261000.0,85000.0,0,60,0,0.0,1657000.0,0.0,2.5050847139113914,1
services,5,1,691000.0,6,0,5,576000.0,472000.0,104000.0,0,60,1,168000.0,1014000.0,0.2916666666666667,6.816289243523274,1
services,5,0,1582000.0,4,0,5,1058000.0,780000.0,278000.0,1,60,0,0.0,4236000.0,0.0,2.9968469893095193,1
retail_wholesale,1,0,589000.0,2,0,1,418000.0,382000.0,36000.0,0,12,0,0.0,3730000.0,0.0,1.3449042985857276,0
services,5,0,969000.0,4,1,5,703000.0,512000.0,191000.0,0,60,0,0.0,607000.0,0.0,13.89858425290954,1
retail_wholesale,15,0,378000.0,4,0,3,274000.0,243000.0,31000.0,0,149,0,0.0,4468000.0,0.0,0.735932072468566,1
retail_wholesale,14,0,1152000.0,3,0,7,674000.0,522000.0,152000.0,0,25,1,78000.0,1764000.0,0.11572700296735905,4.584219121104377,1
retail_wholesale,6,1,946000.0,3,0,5,700000.0,583000.0,117000.0,0,32,0,0.0,2241000.0,0.0,3.747512465249114,1
services,6,1,1545000.0,3,0,6,979000.0,740000.0,239000.0,3,72,1,203000.0,3959000.0,0.20735444330949948,2.9671502984857945,0
food,1,0,1327000.0,4,1,1,1011000.0,914000.0,97000.0,0,12,0,0.0,5391000.0,0.0,2.2505533904558144,1
retail_wholesale,4,1,1171000.0,3,0,4,654000.0,631000.0,23000.0,0,48,0,0.0,3651000.0,0.0,2.1498377424758734,1
food,10,1,589000.0,8,0,10,529000.0,403000.0,126000.0,0,65,0,0.0,2311000.0,0.0,2.7466289482723965,1
retail_wholesale,4,1,830000.0,4,1,3,672000.0,650000.0,22000.0,0,48,0,0.0,876000.0,0.0,9.204080722910776,1
services,12,1,1883000.0,4,0,12,1256000.0,994000.0,262000.0,0,117,0,0.0,593000.0,0.0,25.417314923089773,1
retail_wholesale,11,1,339000.0,6,1,11,210000.0,180000.0,30000.0,3,132,0,0.0,3387000.0,0.0,0.7439483694546677,1
retail_wholesale,4,1,347000.0,5,0,4,227000.0,203000.0,24000.0,0,48,0,0.0,4474000.0,0.0,0.6088008965897326,1
retail_wholesale,6,0,779000.0,5,1,4,614000.0,464000.0,150000.0,1,10,1,143000.0,1227000.0,0.23289902280130292,6.006162556600327,0
textiles,15,1,985000.0,3,0,12,750000.0,618000.0,132000.0,0,119,0,0.0,1701000.0,0.0,5.2906725591240535,1
retail_wholesale,1,0,285000.0,2,0,1,223000.0,160000.0,63000.0,0,12,0,0.0,1432000.0,0.0,1.8692466612223226,1
retail_wholesale,4,0,603000.0,2,0,1,516000.0,462000.0,54000.0,2,48,0,0.0,1409000.0,0.0,4.394927345465588,0
retail_wholesale,1,1,592000.0,2,0,1,404000.0,330000.0,74000.0,0,12,1,88000.0,3812000.0,0.21782178217821782,1.2718116217878506,1
light_manufacturing,3,0,100000.0,4,0,2,77000.0,73000.0,4000.0,1,36,0,0.0,2280000.0,0.0,0.40526493406744446,1
services,18,0,522000.0,3,1,4,353000.0,274000.0,79000.0,2,114,0,0.0,1743000.0,0.0,2.430213792698153,1
services,4,0,555000.0,4,0,4,419000.0,402000.0,17000.0,2,48,1,129000.0,9852000.0,0.30787589498806683,0.5103610298005613,1
retail_wholesale,1,1,554000.0,5,0,1,382000.0,282000.0,100000.0,0,12,0,0.0,846000.0,0.0,5.4198998545308745,0
light_manufacturing,2,1,2678000.0,1,0,2,2171000.0,1889000.0,282000.0,0,24,0,0.0,2778000.0,0.0,9.376445167972006,1
services,1,1,193000.0,6,0,1,97000.0,76000.0,21000.0,0,12,1,30000.0,1066000.0,0.30927835051546393,1.0920996632303464,0
services,7,0,285000.0,5,1,7,167000.0,125000.0,42000.0,4,27,1,67000.0,1820000.0,0.40119760479041916,1.1012656682460116,0
retail_wholesale,8,0,100000.0,5,0,8,62000.0,45000.0,17000.0,0,96,0,0.0,2187000.0,0.0,0.34026026960224276,1
retail_wholesale,11,0,402000.0,1,0,11,353000.0,312000.0,41000.0,0,132,1,51000.0,3320000.0,0.14447592067988668,1.2759803886375252,0
retail_wholesale,9,0,438000.0,2,0,2,308000.0,236000.0,72000.0,0,36,0,0.0,1710000.0,0.0,2.1615230961627834,1
services,2,0,390000.0,3,0,2,252000.0,217000.0,35000.0,0,24,0,0.0,1605000.0,0.0,1.8843861847448389,1
food,8,0,1968000.0,4,0,8,1302000.0,1268000.0,34000.0,0,96,0,0.0,1692000.0,0.0,9.23602937246893,1
retail_wholesale,5,1,1537000.0,3,1,5,1046000.0,825000.0,221000.0,0,60,0,0.0,1046000.0,0.0,11.997573807662025,1
retail_wholesale,12,0,703000.0,4,0,12,595000.0,422000.0,173000.0,0,144,1,85000.0,2923000.0,0.14285714285714285,2.442884991790645,1
textiles,10,1,449000.0,3,1,10,397000.0,294000.0,103000.0,1,120,0,0.0,2368000.0,0.0,2.0120213197206125,1
retail_wholesale,20,1,1814000.0,3,1,14,1519000.0,1114000.0,405000.0,0,98,1,239000.0,2597000.0,0.15734035549703754,7.019629859303361,1
services,3,0,637000.0,4,1,3,533000.0,442000.0,91000.0,0,36,0,0.0,1918000.0,0.0,3.334262168071647,1
services,2,0,287000.0,5,0,2,166000.0,151000.0,15000.0,0,24,0,0.0,1781000.0,0.0,1.1181983282096248,1
services,4,1,117000.0,5,0,4,71000.0,56000.0,15000.0,0,48,0,0.0,4049000.0,0.0,0.2104144470791013,1
retail_wholesale,5,0,418000.0,5,1,5,309000.0,229000.0,80000.0,0,60,0,0.0,3692000.0,0.0,1.0042827298364099,1
textiles,3,1,1382000.0,6,1,3,1054000.0,927000.0,127000.0,0,36,0,0.0,4674000.0,0.0,2.70600010252492,1
textiles,3,1,6333000.0,6,0,3,3680000.0,2886000.0,794000.0,0,36,1,517000.0,2501000.0,0.14048913043478262,17.656705222213013,1
textiles,7,1,691000.0,3,1,7,552000.0,475000.0,77000.0,0,26,1,145000.0,4503000.0,0.26268115942028986,1.4710166784550391,1
retail_wholesale,4,0,302000.0,5,0,1,175000.0,168000.0,7000.0,0,48,0,0.0,1558000.0,0.0,1.3477543298587413,1
retail_wholesale,3,0,199000.0,3,1,3,120000.0,94000.0,26000.0,0,36,0,0.0,1773000.0,0.0,0.8122127260088615,0
retail_wholesale,2,1,1129000.0,3,0,2,703000.0,593000.0,110000.0,0,24,0,0.0,4097000.0,0.0,2.0591651421320716,1
food,1,1,111000.0,3,0,1,93000.0,86000.0,7000.0,0,12,0,0.0,3317000.0,0.0,0.33640171945458675,1
retail_wholesale,14,1,1127000.0,3,0,9,894000.0,799000.0,95000.0,0,48,0,0.0,1680000.0,0.0,6.38518338036883,1
retail_wholesale,14,1,1472000.0,4,0,12,1049000.0,955000.0,94000.0,0,168,1,131000.0,1068000.0,0.12488083889418494,11.791179362041422,0
retail_wholesale,10,0,1006000.0,7,1,10,832000.0,762000.0,70000.0,0,114,0,0.0,1770000.0,0.0,5.6418676553686185,1
textiles,9,0,522000.0,6,1,9,431000.0,367000.0,64000.0,0,108,1,124000.0,1326000.0,0.2877030162412993,3.900221495012627,1
retail_wholesale,4,0,1144000.0,5,1,4,750000.0,638000.0,112000.0,2,48,0,0.0,5629000.0,0.0,1.5989950006243876,1
light_manufacturing,9,1,771000.0,6,1,8,627000.0,565000.0,62000.0,0,108,0,0.0,3156000.0,0.0,2.384349509441942,1
textiles,2,0,299000.0,2,0,2,174000.0,156000.0,18000.0,0,24,0,0.0,1263000.0,0.0,1.6530350721616973,1
retail_wholesale,6,1,4136000.0,5,1,6,2900000.0,2574000.0,326000.0,0,10,0,0.0,1068000.0,0.0,32.57238301687573,1
textiles,3,1,457000.0,4,1,3,250000.0,202000.0,48000.0,0,36,0,0.0,1254000.0,0.0,2.392773306180486,1
retail_wholesale,9,0,1412000.0,5,1,9,947000.0,883000.0,64000.0,1,12,1,191000.0,1430000.0,0.2016895459345301,7.945441965018548,1
light_manufacturing,16,0,100000.0,4,0,16,71000.0,54000.0,17000.0,0,84,0,0.0,1810000.0,0.0,0.4708123384933429,1
food,2,0,2330000.0,5,0,2,1239000.0,921000.0,318000.0,0,24,0,0.0,3904000.0,0.0,3.808883788611709,1
services,4,0,2824000.0,4,0,4,1934000.0,1541000.0,393000.0,3,48,0,0.0,1120000.0,0.0,20.723327561011775,1
retail_wholesale,6,0,670000.0,3,0,6,509000.0,392000.0,117000.0,0,72,1,106000.0,7900000.0,0.2082514734774067,0.7731593242059548,0
food,1,0,1137000.0,2,0,1,847000.0,750000.0,97000.0,0,12,0,0.0,1136000.0,0.0,8.950281882079063,1
food,1,0,1136000.0,3,0,1,593000.0,453000.0,140000.0,0,12,0,0.0,859000.0,0.0,8.286496215713274,1
light_manufacturing,16,1,342000.0,2,0,10,184000.0,163000.0,21000.0,4,192,0,0.0,5508000.0,0.0,0.4009001250786131,1
textiles,7,1,1123000.0,6,0,4,720000.0,607000.0,113000.0,0,49,0,0.0,4419000.0,0.0,1.9552186768609476,1
food,3,1,290000.0,3,1,3,242000.0,180000.0,62000.0,0,36,0,0.0,1793000.0,0.0,1.6198785787661474,1
retail_wholesale,6,1,354000.0,4,0,6,300000.0,232000.0,68000.0,0,17,0,0.0,2514000.0,0.0,1.43187858198553,1
retail_wholesale,4,1,2006000.0,4,1,4,1251000.0,1058000.0,193000.0,0,48,1,313000.0,2553000.0,0.2501998401278977,5.881202390886223,1
food,6,0,1723000.0,5,1,6,1357000.0,1228000.0,129000.0,0,72,0,0.0,2171000.0,0.0,7.500790333831826,1
retail_wholesale,4,0,321000.0,1,0,0,234000.0,190000.0,44000.0,0,14,0,0.0,919000.0,0.0,3.0563244341784954,1
retail_wholesale,5,0,312000.0,3,1,5,279000.0,213000.0,66000.0,0,60,0,0.0,500000.0,0.0,6.696000000000001,1
services,9,1,341000.0,7,0,3,183000.0,143000.0,40000.0,0,108,0,0.0,1205000.0,0.0,1.8227130036122154,1
services,9,0,1352000.0,5,0,6,973000.0,707000.0,266000.0,0,59,1,245000.0,5947000.0,0.2517985611510791,1.9634352655980594,0
retail_wholesale,15,1,239000.0,6,0,1,176000.0,124000.0,52000.0,0,175,0,0.0,6088000.0,0.0,0.34688571101654236,1
textiles,8,1,929000.0,3,0,3,579000.0,563000.0,16000.0,1,96,0,0.0,1709000.0,0.0,4.064980095835276,1
retail_wholesale,6,1,1372000.0,2,0,6,712000.0,518000.0,194000.0,1,44,0,0.0,1126000.0,0.0,7.590220445374271,1
services,17,1,595000.0,4,0,17,310000.0,228000.0,82000.0,4,180,1,81000.0,2363000.0,0.26129032258064516,1.5741316011756736,0
retail_wholesale,5,1,1785000.0,5,1,5,1216000.0,1148000.0,68000.0,0,60,0,0.0,2603000.0,0.0,5.6065610919694695,1
services,1,0,479000.0,3,1,1,373000.0,330000.0,43000.0,0,12,0,0.0,2868000.0,0.0,1.5607256889384462,1
services,10,0,525000.0,3,0,10,409000.0,336000.0,73000.0,0,120,0,0.0,500000.0,0.0,9.816,1
services,7,0,245000.0,6,0,7,140000.0,123000.0,17000.0,2,84,0,0.0,13300000.0,0.0,0.1263111341118096,1
retail_wholesale,6,1,1797000.0,6,1,6,1516000.0,1458000.0,58000.0,0,72,0,0.0,3946000.0,0.0,4.610562908972733,1
services,10,0,302000.0,4,0,1,197000.0,143000.0,54000.0,0,57,0,0.0,1776000.0,0.0,1.330994146028282,1
retail_wholesale,4,0,922000.0,3,0,4,817000.0,628000.0,189000.0,0,38,1,167000.0,1300000.0,0.204406364749082,7.54382888796151,1
retail_wholesale,1,1,605000.0,3,1,1,331000.0,311000.0,20000.0,1,12,0,0.0,3617000.0,0.0,1.0982732230728638,1
textiles,11,0,227000.0,6,1,5,189000.0,174000.0,15000.0,1,132,0,0.0,2692000.0,0.0,0.8424124292380208,1
retail_wholesale,3,0,353000.0,6,0,3,305000.0,298000.0,7000.0,1,36,0,0.0,2114000.0,0.0,1.731568203695045,1
services,2,0,2591000.0,9,1,2,2148000.0,1692000.0,456000.0,0,24,0,0.0,2633000.0,0.0,9.789357886615264,1
services,1,1,795000.0,5,1,1,655000.0,632000.0,23000.0,0,12,0,0.0,1869000.0,0.0,4.2049869434575395,1
retail_wholesale,10,0,237000.0,4,0,10,153000.0,122000.0,31000.0,3,88,1,52000.0,2545000.0,0.33986928104575165,0.7213179545925911,1
light_manufacturing,1,1,882000.0,3,0,1,693000.0,624000.0,69000.0,0,12,0,0.0,3092000.0,0.0,2.6891266591234286,1
retail_wholesale,13,1,562000.0,2,0,13,411000.0,389000.0,22000.0,0,150,0,0.0,2457000.0,0.0,2.0069321855765354,1
food,4,1,20558000.0,5,0,4,13770000.0,10297000.0,3473000.0,0,48,0,0.0,2381000.0,0.0,69.38693844640304,1
retail_wholesale,10,0,864000.0,4,0,1,776000.0,588000.0,188000.0,0,120,0,0.0,4613000.0,0.0,2.018673536272464,1
light_manufacturing,8,1,444000.0,6,0,8,274000.0,236000.0,38000.0,1,96,0,0.0,767000.0,0.0,4.28618289280964,1
retail_wholesale,19,1,2689000.0,1,0,15,1789000.0,1675000.0,114000.0,0,226,1,175000.0,1239000.0,0.09782001117942984,17.324915035181185,1
retail_wholesale,8,1,103000.0,4,0,8,89000.0,64000.0,25000.0,2,96,1,17000.0,2032000.0,0.19101123595505617,0.5255574072076196,0
retail_wholesale,13,0,714000.0,9,0,10,440000.0,413000.0,27000.0,2,90,0,0.0,1291000.0,0.0,4.090631940976924,1
light_manufacturing,4,0,4776000.0,4,0,4,2680000.0,2133000.0,547000.0,0,48,0,0.0,1577000.0,0.0,20.393083244130274,1
services,1,0,579000.0,4,0,1,361000.0,294000.0,67000.0,0,12,0,0.0,4331000.0,0.0,1.0002371069501823,1
services,11,1,115000.0,6,1,3,92000.0,73000.0,19000.0,0,132,0,0.0,1829000.0,0.0,0.6036114104162003,1
services,1,1,437000.0,6,0,1,369000.0,352000.0,17000.0,0,12,1,39000.0,667000.0,0.10569105691056911,6.634792879304768,1
services,10,0,2784000.0,3,0,5,1519000.0,1119000.0,400000.0,0,70,0,0.0,1551000.0,0.0,11.749571013593291,1
food,2,1,947000.0,6,1,2,709000.0,610000.0,99000.0,2,24,0,0.0,2071000.0,0.0,4.108228083442198,0
retail_wholesale,7,0,281000.0,6,1,4,204000.0,151000.0,53000.0,0,84,0,0.0,2048000.0,0.0,1.1951963298092863,1
services,19,0,328000.0,3,0,13,251000.0,241000.0,10000.0,0,223,0,0.0,2792000.0,0.0,1.0787841981623154,1
services,9,0,371000.0,5,0,9,285000.0,263000.0,22000.0,2,108,0,0.0,2659000.0,0.0,1.2864162167419766,1
retail_wholesale,5,0,933000.0,4,0,5,824000.0,631000.0,193000.0,3,60,0,0.0,1840000.0,0.0,5.373451176449871,0
retail_wholesale,8,0,2478000.0,4,0,8,1582000.0,1239000.0,343000.0,0,96,1,384000.0,978000.0,0.2427307206068268,19.419412178267102,1
services,4,1,1862000.0,3,1,4,1154000.0,931000.0,223000.0,0,14,0,0.0,1535000.0,0.0,9.022100589638248,1
retail_wholesale,24,0,1026000.0,5,1,18,751000.0,611000.0,140000.0,0,105,0,0.0,1376000.0,0.0,6.547450753710028,1
light_manufacturing,3,1,172000.0,5,0,3,115000.0,107000.0,8000.0,0,36,0,0.0,1686000.0,0.0,0.8187296070366052,1
retail_wholesale,5,0,172000.0,2,1,5,119000.0,102000.0,17000.0,0,60,0,0.0,3028000.0,0.0,0.4716238977666792,1
retail_wholesale,9,1,1108000.0,5,0,4,585000.0,480000.0,105000.0,0,108,0,0.0,2549000.0,0.0,2.7542753791576464,1
services,8,1,169000.0,2,1,8,95000.0,86000.0,9000.0,0,59,0,0.0,3279000.0,0.0,0.3476627610885079,1
retail_wholesale,8,0,519000.0,7,0,8,453000.0,375000.0,78000.0,0,54,0,0.0,1588000.0,0.0,3.4224143006810026,1
retail_wholesale,4,1,881000.0,3,0,4,465000.0,342000.0,123000.0,0,48,0,0.0,4944000.0,0.0,1.1286532805557703,1
textiles,5,1,208000.0,2,1,5,153000.0,112000.0,41000.0,0,24,1,16000.0,2995000.0,0.10457516339869281,0.6130792949165639,1
services,11,0,233000.0,3,0,9,187000.0,148000.0,39000.0,0,121,0,0.0,2139000.0,0.0,1.0489314695802678,1
retail_wholesale,11,1,592000.0,3,0,11,299000.0,260000.0,39000.0,0,51,0,0.0,2872000.0,0.0,1.2491206365766716,1
retail_wholesale,8,0,1076000.0,5,1,8,634000.0,468000.0,166000.0,0,81,0,0.0,1333000.0,0.0,5.705949448889537,1
services,14,1,1879000.0,1,0,1,1223000.0,1044000.0,179000.0,3,71,0,0.0,564000.0,0.0,26.00578089725788,1
